time_1,pitch_1,yaw_1,time_2,pitch_2,yaw_2,time_3,pitch_3,yaw_3,time_4,pitch_4,yaw_4,time_5,pitch_5,yaw_5,time_6,pitch_6,yaw_6,time_7,pitch_7,yaw_7,time_8,pitch_8,yaw_8,time_9,pitch_9,yaw_9,time_10,pitch_10,yaw_10,time_11,pitch_11,yaw_11,time_12,pitch_12,yaw_12,time_13,pitch_13,yaw_13,time_14,pitch_14,yaw_14,time_15,pitch_15,yaw_15,time_16,pitch_16,yaw_16,time_17,pitch_17,yaw_17,time_18,pitch_18,yaw_18,time_19,pitch_19,yaw_19,time_20,pitch_20,yaw_20,time_21,pitch_21,yaw_21,time_22,pitch_22,yaw_22,time_23,pitch_23,yaw_23,time_24,pitch_24,yaw_24,time_25,pitch_25,yaw_25,time_26,pitch_26,yaw_26,time_27,pitch_27,yaw_27,time_28,pitch_28,yaw_28,time_29,pitch_29,yaw_29,time_30,pitch_30,yaw_30,time_31,pitch_31,yaw_31,time_32,pitch_32,yaw_32,time_33,pitch_33,yaw_33,time_34,pitch_34,yaw_34,time_35,pitch_35,yaw_35,time_36,pitch_36,yaw_36,time_37,pitch_37,yaw_37,time_38,pitch_38,yaw_38,time_39,pitch_39,yaw_39,time_40,pitch_40,yaw_40,time_41,pitch_41,yaw_41,time_42,pitch_42,yaw_42,time_43,pitch_43,yaw_43,time_44,pitch_44,yaw_44,time_45,pitch_45,yaw_45,time_46,pitch_46,yaw_46,time_47,pitch_47,yaw_47,time_48,pitch_48,yaw_48,time_49,pitch_49,yaw_49,time_50,pitch_50,yaw_50,time_51,pitch_51,yaw_51,time_52,pitch_52,yaw_52,time_53,pitch_53,yaw_53,time_54,pitch_54,yaw_54
0,19.77749249,6.816928389,0,25.63672415,2.52066803,0,34.09724651,-0.956357221,0,26.23300222,4.791188116,0,34.02683341,-6.147308567,0,30.82979707,5.433911928,0,18.75219118,6.880611424,0,32.02273653,3.254521237,0,36.34355015,8.925721397,0,33.51738811,-1.186611464,0,30.67302014,-1.516086681,0,31.41563534,-4.972038919,0,30.65612209,5.146080207,0,33.33871762,7.505436646,0,21.50403932,1.966072295,0,20.23172887,6.100907015,0,22.93201718,5.871120177,0,34.04787018,5.786848557,0,28.85018122,-3.344867873,0,35.16711798,0.855142806,0,24.2443656,-2.669419198,0,27.71703239,7.897671369,0,43.4972475,8.22026859,0,27.3857637,6.343334782,0,23.23376244,3.001027516,0,22.16843559,9.653901138,0,34.91052432,2.546783715,0,33.56965642,3.345176136,0,25.17206572,-0.677155744,0,29.55475216,3.467213645,0,23.2289775,4.232713328,0,25.81124254,3.699480373,0,27.75795636,2.970830724,0,28.6739869,-0.389225996,0,37.02258586,0.021263109,0,26.28259665,5.434641918,0,24.93545136,-2.228534203,0,22.17801952,2.473653592,0,30.3460214,3.333095825,0,32.41999737,-0.306374494,0,26.89608743,-4.723947279,0,27.78045108,-8.268978517,0,26.02644866,5.657347934,0,29.54896382,-0.126795492,0,25.04201968,-0.932531944,0,32.26645674,-1.538558428,0,35.27309501,5.218985899,0,24.31099846,5.004914749,0,28.63170779,6.202458985,0,24.19674284,5.51329835,0,35.79387746,-3.022617452,0,30.66646705,-4.24797395,0,23.33014972,8.287168107,0,6.911859484,3.149063369
0.05,20.15213678,10.98429288,0.05,24.58121812,3.988620747,0.05,32.65711455,-1.480394517,0.05,26.1022676,7.755970035,0.05,32.54493344,-10.05731057,0.05,30.29654099,8.788388865,0.05,19.06486429,11.11070546,0.05,30.33033525,5.117186855,0.05,35.28555057,14.34486582,0.05,32.72358801,-1.895905252,0.05,29.97365215,-2.420984366,0.05,30.41789638,-8.182721605,0.05,29.89225177,8.353420135,0.05,32.25703105,12.3401295,0.05,21.62783046,3.234661966,0.05,19.80627395,9.612296533,0.05,22.18841428,9.255801245,0.05,32.48107277,9.167152699,0.05,28.35883172,-5.442378353,0.05,33.84714567,1.409804498,0.05,24.16366606,-4.372811105,0.05,26.83579082,12.46435656,0.05,41.47216987,12.98678114,0.05,27.66645614,10.71053358,0.05,22.92813358,4.765500681,0.05,21.72970136,15.35336386,0.05,33.18929378,4.053102457,0.05,32.79696829,5.447212589,0.05,24.96859709,-1.056774506,0.05,28.53218438,5.497484732,0.05,22.99504809,6.864805745,0.05,25.00462704,5.844430794,0.05,26.95960424,4.725472504,0.05,27.84789358,-0.575226539,0.05,35.55840333,0.08771017,0.05,26.27810046,8.929785693,0.05,24.33855943,-3.514419658,0.05,21.78579843,3.962967009,0.05,29.0561933,5.271274475,0.05,31.40134991,-0.449683359,0.05,26.41895228,-7.788321719,0.05,27.0793674,-13.30232325,0.05,25.53418833,8.974913369,0.05,28.55488376,-0.15027758,0.05,24.62764862,-1.461075808,0.05,30.97561886,-2.385715191,0.05,34.14818521,8.49035163,0.05,24.29405167,8.262406541,0.05,27.660667,9.75586301,0.05,23.90168785,8.811790019,0.05,34.02102258,-4.857051445,0.05,30.04064391,-7.057558976,0.05,23.23393339,13.48265335,0.05,9.846381037,5.020811956
0.1,21.00817339,18.46096319,0.1,22.51586709,6.648860098,0.1,29.8856825,-2.398870027,0.1,25.971331,13.09019396,0.1,29.71176005,-17.04914758,0.1,29.35613357,14.81794752,0.1,19.79263694,18.69662379,0.1,26.98126071,8.486771725,0.1,33.25712607,24.04325903,0.1,31.31963766,-3.147105199,0.1,28.73935666,-4.023421781,0.1,28.58842525,-13.92833796,0.1,28.48681257,14.1176929,0.1,30.21237918,20.99882395,0.1,22.02941043,5.532370597,0.1,18.99844811,15.92907397,0.1,20.74143345,15.34491375,0.1,29.40438156,15.24623798,0.1,27.55576486,-9.187445955,0.1,31.31825685,2.429795448,0.1,24.19687011,-7.414363197,0.1,25.12189484,20.66260282,0.1,37.48253543,21.5422963,0.1,28.44464115,18.56867421,0.1,22.39797222,7.959230566,0.1,20.89424714,25.55173859,0.1,29.8106284,6.780349506,0.1,31.39864879,9.239495497,0.1,24.7237208,-1.716040904,0.1,26.55894356,9.165835695,0.1,22.64385621,11.60124947,0.1,23.45139806,9.719009722,0.1,25.44241066,7.899697047,0.1,26.3129086,-0.886255681,0.1,32.74051032,0.23231568,0.1,26.42846177,15.21129835,0.1,23.25731509,-5.801047485,0.1,21.0846658,6.658159872,0.1,26.53404956,8.774578311,0.1,29.50326684,-0.68455865,0.1,25.64384375,-13.27289511,0.1,25.79247929,-22.28741551,0.1,24.62719846,14.94473005,0.1,26.66637527,-0.16863232,0.1,23.93595921,-2.388009621,0.1,28.49328981,-3.883954063,0.1,32.02704218,14.36916458,0.1,24.42228214,14.12007546,0.1,25.77113495,16.15210476,0.1,23.40183165,14.74267018,0.1,30.58948706,-8.131234546,0.1,28.9992117,-12.09102499,0.1,23.14225268,22.77879383,0.1,15.07702363,8.400761512
0.15,22.57933061,22.0543713,0.15,20.79815336,7.86757314,0.15,27.71545055,-2.699931137,0.15,26.6326771,15.73756068,0.15,27.5410529,-20.58921278,0.15,29.20086856,17.78703861,0.15,21.19289803,22.37219808,0.15,23.94110927,9.964592281,0.15,31.9134359,28.60459094,0.15,30.84927249,-3.676138961,0.15,28.35074614,-4.712853782,0.15,27.56738134,-16.91307649,0.15,27.80545321,17.00008938,0.15,28.87997089,25.50440268,0.15,23.24754038,6.782294834,0.15,18.56395348,18.6613255,0.15,19.64556424,17.98813275,0.15,26.76353156,17.95346501,0.15,27.65230411,-11.02444513,0.15,29.43970602,3.020787532,0.15,25.16786897,-8.948918684,0.15,23.84548046,24.21206219,0.15,34.02222685,25.26611356,0.15,30.386961,23.12577707,0.15,22.41840595,9.442038191,0.15,20.47536544,30.09619332,0.15,26.86620595,8.062507435,0.15,30.84087154,11.19063444,0.15,25.31677345,-1.932702538,0.15,25.08425283,10.84219986,0.15,22.96808761,13.97244314,0.15,22.33869827,11.45292856,0.15,24.45666751,9.382691211,0.15,25.42695193,-0.907281336,0.15,30.57428507,0.4378353,0.15,27.48652238,18.51289845,0.15,22.78990778,-6.736885595,0.15,20.90748437,7.964744482,0.15,24.43150325,10.35616984,0.15,28.34679388,-0.682196333,0.15,25.73596234,-16.14269278,0.15,25.17374088,-26.4828364,0.15,24.28134022,17.63163913,0.15,25.35847979,-0.043761936,0.15,23.96635604,-2.723123231,0.15,26.58020824,-4.412655183,0.15,30.66073333,17.33553261,0.15,25.42346617,17.2600994,0.15,24.32265768,18.89979694,0.15,23.5081956,17.50769713,0.15,27.74068988,-9.644791884,0.15,28.95017034,-14.80944397,0.15,23.72994984,27.39667894,0.15,17.04169783,9.986096275
0.2,24.25072307,24.21719581,0.2,19.09735101,8.639397692,0.2,25.68605789,-2.787398543,0.2,27.44191545,17.38344921,0.2,25.55098773,-22.70545837,0.2,29.18318648,19.61516812,0.2,22.6860739,24.58514348,0.2,20.89780246,10.86918084,0.2,30.63031787,31.28220814,0.2,30.64183313,-3.91851481,0.2,28.19497015,-5.049887938,0.2,26.78471479,-18.71954196,0.2,27.25694741,18.78290949,0.2,27.66108473,28.27236339,0.2,24.66639249,7.621201737,0.2,18.13007842,20.25212743,0.2,18.54601547,19.53015975,0.2,24.14679486,19.55019921,0.2,28.01010182,-12.08571061,0.2,27.69642153,3.462121799,0.2,26.42423899,-9.844941753,0.2,22.57402181,26.25066947,0.2,30.58503209,27.40998125,0.2,32.59924813,26.10074085,0.2,22.51446126,10.37882157,0.2,20.04526776,32.68879889,0.2,23.96937631,8.878356298,0.2,30.46501463,12.44347807,0.2,26.13577514,-1.980478828,0.2,23.66737968,11.87980122,0.2,23.42020168,15.45232584,0.2,21.26283401,12.51339589,0.2,23.54368255,10.31833622,0.2,24.69250895,-0.828592488,0.2,28.54693214,0.660398227,0.2,28.73483853,20.59300439,0.2,22.47509555,-7.200722918,0.2,20.81099749,8.803900673,0.2,22.36283738,11.33219559,0.2,27.37727447,-0.59429354,0.2,26.08784135,-17.88469065,0.2,24.71452877,-28.87875623,0.2,23.99435222,19.23300222,0.2,24.17249659,0.12618566,0.2,24.1829862,-2.840150716,0.2,24.79637686,-4.621492994,0.2,29.43719693,19.17565912,0.2,26.62262881,19.25716863,0.2,22.89056516,20.50209146,0.2,23.69428829,19.17369101,0.2,25.04822356,-10.49110063,0.2,29.21135891,-16.48675892,0.2,24.40004738,30.16801977,0.2,17.97887396,10.97428838
0.25,25.88633141,25.69143774,0.25,17.33723969,9.205735419,0.25,23.67865618,-2.774548543,0.25,28.24641533,18.53901225,0.25,23.60685506,-24.10046144,0.25,29.15296326,20.88656194,0.25,24.13910052,26.08997132,0.25,17.78159784,11.51337288,0.25,29.28547673,33.06860203,0.25,30.51283698,-4.016748387,0.25,28.10511747,-5.211886838,0.25,26.07368521,-19.91483444,0.25,26.6938792,20.0230099,0.25,26.40461408,30.16028153,0.25,26.1187274,8.251413269,0.25,17.61670923,21.32276488,0.25,17.36512633,20.56913037,0.25,21.46256015,20.63347318,0.25,28.45143558,-12.75181817,0.25,25.96268838,3.830090181,0.25,27.77338828,-10.40813193,0.25,21.2211009,27.60248718,0.25,27.07436654,28.83521713,0.25,34.84517467,28.20936827,0.25,22.58074758,11.06259703,0.25,19.52079055,34.38514785,0.25,21.02887723,9.476807063,0.25,30.10738886,13.34930939,0.25,27.01386071,-1.945492378,0.25,22.20894302,12.62167575,0.25,23.85922823,16.49273864,0.25,20.13371056,13.26464816,0.25,22.59894279,10.9990476,0.25,23.98167165,-0.704040402,0.25,26.5363945,0.88842317,0.25,29.99303185,22.05067792,0.25,22.19466288,-7.440526684,0.25,20.68771215,9.421518533,0.25,20.24053402,12.02950974,0.25,26.44691596,-0.466315095,0.25,26.5211165,-19.03778225,0.25,24.299473,-30.41371282,0.25,23.65818605,20.33109479,0.25,22.99562154,0.315050839,0.25,24.44151364,-2.851649526,0.25,23.03431359,-4.682692378,0.25,28.20331616,20.4567213,0.25,27.83700182,20.66316645,0.25,21.38730147,21.58530231,0.25,23.84077938,20.31981091,0.25,22.3918967,-11.00852236,0.25,29.57647165,-17.60708678,0.25,25.01752479,32.03406925,0.25,18.45215062,11.68171813
0.3,27.01491621,26.77842398,0.3,16.12823801,9.657444139,0.3,22.42846697,-2.706845194,0.3,28.86378144,19.41484367,0.3,22.43362395,-25.07950548,0.3,29.20479161,21.84141813,0.3,25.13446676,27.1954981,0.3,15.64846391,12.01364356,0.3,28.39745147,34.36097638,0.3,30.61636885,-4.03249729,0.3,28.21072556,-5.274242275,0.3,25.76628305,-20.75196753,0.3,26.3779632,20.95254057,0.3,25.5988745,31.5408485,0.3,27.20984367,8.759158476,0.3,17.21980305,22.10855549,0.3,16.5179733,21.33214454,0.3,19.63930807,21.43331946,0.3,28.93790053,-13.18863254,0.3,24.88697952,4.155022725,0.3,28.87664022,-10.77538984,0.3,20.27190083,28.58024959,0.3,24.70864605,29.86909493,0.3,36.51038228,29.79362319,0.3,22.64928639,11.6052285,0.3,19.10739349,35.59321263,0.3,19.06111487,9.953400973,0.3,29.98064381,14.05477717,0.3,27.75537512,-1.864275175,0.3,21.24041535,13.19902184,0.3,24.20598314,17.28128983,0.3,19.36423097,13.84467781,0.3,21.98812931,11.53722364,0.3,23.60302356,-0.55531526,0.3,25.28598909,1.117431635,0.3,30.94181791,23.14591797,0.3,22.11275722,-7.555914324,0.3,20.62781538,9.914006687,0.3,18.80561354,12.57208823,0.3,25.94932327,-0.317074965,0.3,26.99421714,-19.84425414,0.3,24.15229785,-31.46976661,0.3,23.43785441,21.15080007,0.3,22.28268925,0.512601739,0.3,24.73739149,-2.804344352,0.3,21.94581959,-4.663596594,0.3,27.4487056,21.41689601,0.3,28.75500658,21.72179888,0.3,20.34934227,22.38500949,0.3,23.95755328,21.17533313,0.3,20.72183817,-11.33875996,0.3,30.04249525,-18.39444315,0.3,25.44353904,33.38833735,0.3,18.67334294,12.23164589
0.35,27.61092486,27.62443275,0.35,15.46795877,10.03699715,0.35,21.89542301,-2.606329624,0.35,29.25400825,20.11444918,0.35,21.98106478,-25.79677234,0.35,29.3018432,22.59751113,0.35,25.64942504,28.05226191,0.35,14.50231521,12.42409613,0.35,27.95201682,35.34956151,0.35,30.87754528,-3.997055276,0.35,28.44537892,-5.274802667,0.35,25.79583208,-21.36116363,0.35,26.27461152,21.68630166,0.35,25.21752526,32.60158335,0.35,27.88414775,9.187850025,0.35,16.94297087,22.71954942,0.35,16.00959265,21.92558123,0.35,18.67370829,22.05838181,0.35,29.39510079,-13.4805816,0.35,24.43104042,4.451591574,0.35,29.65326052,-11.01765721,0.35,19.72857039,29.32993621,0.35,23.48393194,30.66439607,0.35,37.52518147,31.03620003,0.35,22.69963088,12.05945139,0.35,18.81271193,36.50445045,0.35,18.05462753,10.35331118,0.35,30.03448823,14.63268361,0.35,28.29614289,-1.755135771,0.35,20.74721051,13.67371945,0.35,24.4270593,17.91067756,0.35,18.94621131,14.31820581,0.35,21.69198565,11.98605199,0.35,23.51354622,-0.392941015,0.35,24.75567379,1.345330946,0.35,31.53056007,24.01030045,0.35,22.18539679,-7.595209072,0.35,20.61012714,10.32751794,0.35,18.05079321,13.01812908,0.35,25.83153973,-0.155847541,0.35,27.43434902,-20.42947125,0.35,24.22647704,-32.23178666,0.35,23.31895458,21.79850553,0.35,21.99900753,0.713973806,0.35,25.01775697,-2.721351625,0.35,21.49337817,-4.59636012,0.35,27.13600754,22.17444894,0.35,29.32438344,22.55780383,0.35,19.7749883,23.01096556,0.35,24.02458435,21.85025332,0.35,19.99393492,-11.55224739,0.35,30.5225701,-18.96696423,0.35,25.65958559,34.42410386,0.35,18.74095222,12.68282524
0.4,27.67355224,28.30936913,0.4,15.36890139,10.36707747,0.4,22.06258762,-2.485042428,0.4,29.40548482,20.6949331,0.4,22.22431231,-26.3386718,0.4,29.43500185,23.2196805,0.4,25.68547901,28.74270096,0.4,14.36064243,12.77350814,0.4,27.95646979,36.13714392,0.4,31.25691648,-3.928064993,0.4,28.77483693,-5.234749691,0.4,26.12743554,-21.81642893,0.4,26.37676179,22.28785539,0.4,25.26125324,33.44716145,0.4,28.11820352,9.561873576,0.4,16.8049092,23.21448124,0.4,15.85969052,22.4062798,0.4,18.57967864,22.56701919,0.4,29.78259583,-13.67535138,0.4,24.58086547,4.72783549,0.4,30.05974853,-11.17551445,0.4,19.60914321,29.92926833,0.4,23.41392228,31.30245357,0.4,37.86118682,32.04335634,0.4,22.73154581,12.45360853,0.4,18.65914516,37.2209412,0.4,18.01565939,10.70085078,0.4,30.24947342,15.12350579,0.4,28.6042166,-1.628298974,0.4,20.73380348,14.0790226,0.4,24.51579498,18.43223384,0.4,18.88877993,14.71988104,0.4,21.7113295,12.37418434,0.4,23.69503762,-0.222659281,0.4,24.92895471,1.571028601,0.4,31.74166569,24.71777724,0.4,22.39151836,-7.584835365,0.4,20.63422825,10.68710224,0.4,17.98567978,13.39880734,0.4,26.06923507,0.012255544,0.4,27.80269184,-20.86495375,0.4,24.49636411,-32.80031948,0.4,23.30732481,22.33143254,0.4,22.13178974,0.916559136,0.4,25.25776852,-2.615474114,0.4,21.66034407,-4.498376053,0.4,27.2563666,22.79503466,0.4,29.52691444,23.24184986,0.4,19.67898787,23.52160833,0.4,24.04415169,22.40427001,0.4,20.18758261,-11.68813876,0.4,30.96918206,-19.39296053,0.4,25.67096915,35.24751795,0.4,18.70731364,13.06704228
0.45,27.64103453,28.88070908,0.45,15.21300769,10.66095663,0.45,22.14497669,-2.350130432,0.45,29.45053017,21.19049929,0.45,22.37643704,-26.75745657,0.45,29.46347231,23.74669292,0.45,25.62942077,29.31587502,0.45,14.16692136,13.07867529,0.45,27.87390903,36.78426049,0.45,31.50953078,-3.836246542,0.45,28.98879204,-5.166888011,0.45,26.34696292,-22.162994,0.45,26.37739784,22.79535653,0.45,25.20479651,34.14066529,0.45,28.23683288,9.896043456,0.45,16.6089081,23.62770113,0.45,15.65378021,22.80750926,0.45,18.41998508,22.99351752,0.45,30.04883919,-13.80197267,0.45,24.64042186,4.988561871,0.45,30.33580912,-11.27390145,0.45,19.42700792,30.42359312,0.45,23.27300556,31.83071587,0.45,38.04566439,32.88106943,0.45,22.68609213,12.80437933,0.45,18.44608378,37.80223711,0.45,17.90987302,11.01033062,0.45,30.35067803,15.55163965,0.45,28.79667134,-1.489928308,0.45,20.64782966,14.43449097,0.45,24.50695726,18.8767859,0.45,18.76523592,15.07002625,0.45,21.65442737,12.71850551,0.45,23.78557608,-0.047866986,0.45,25.01379524,1.793914173,0.45,31.83083953,25.31321026,0.45,22.51351123,-7.540504025,0.45,20.58085595,11.00759724,0.45,17.85627607,13.73241424,0.45,26.203395,0.184189946,0.45,28.0514276,-21.1945398,0.45,24.68496127,-33.23483306,0.45,23.21769499,22.78323726,0.45,22.18294272,1.118841431,0.45,25.39674318,-2.494387464,0.45,21.74932567,-4.379899964,0.45,27.27167018,23.31813679,0.45,29.60693278,23.81705847,0.45,19.51892051,23.95106283,0.45,23.97907854,22.87271639,0.45,20.29757661,-11.76999996,0.45,31.27865357,-19.71472563,0.45,25.5906384,35.92180678,0.45,18.60291557,13.40307512
